latitude;longitude;date
-1.729;112.426;39717
-0.939;116.827;39717
-1.04;115.439;39717
1.195;118.763;39717
1.193;118.754;39717
1.429;118.342;39717
1.44;118.351;39717
1.431;118.294;39717
1.442;118.235;39717
1.533;118.168;39717
1.549;118.146;39717
1.552;118.12;39717
1.575;118.146;39717
1.664;118.001;39717
1.663;117.991;39717
2.01;117.273;39717
2.008;117.263;39717
2.018;117.261;39717
2.054;117.308;39717
2.164;117.573;39717
2.215;117.549;39717
1.505;109.701;39717
1.499;109.663;39717
1.507;109.696;39717
3.068;117.258;39717
3.39;117.011;39717
1.544;118.167;39717
0.09;117.488;39717
-1.555;114.242;39717
-1.557;114.251;39717
-1.594;114.249;39717
1.947;117.75;39718
1.93;117.747;39718
1.923;117.789;39718
1.923;117.784;39718
-0.738;109.541;39718
-1.554;114.236;39718
-1.558;114.261;39718
-2.102;115.989;39718
-2.201;111.49;39718
-2.334;111.636;39718
-2.867;111.348;39718
-3.32;113.923;39718
-2.888;110.416;39718
-2.89;110.407;39718
-2.463;110.232;39718
-1.891;111.7;39718
-1.435;114.367;39718
-1.037;116.751;39718
-1.033;116.745;39718
-1.204;110.61;39718
-0.759;110.308;39718
-0.824;109.857;39718
-0.542;110.157;39718
-0.238;109.202;39718
0.042;109.869;39718
0.154;109.749;39718
0.15;109.722;39718
0.149;109.713;39718
0.207;109.861;39718
0.373;109.089;39718
-3.394;113.804;39719
-2.519;114.588;39719
-2.369;112.247;39719
-2.37;112.234;39719
-1.401;113.971;39719
1.938;117.763;39719
-1.588;113.681;39719
-1.408;114.823;39719
-1.439;113.727;39719
-1.233;115.085;39719
-1.524;112.993;39719
-1.421;113.612;39719
-1.235;115.08;39719
-1.435;113.722;39719
-1.525;112.989;39719
-1.39;113.679;39719
-1.395;113.642;39719
-1.356;113.674;39719
-1.385;113.671;39719
-1.39;113.521;39719
-1.442;113.176;39719
-1.352;113.666;39719
-1.219;113.605;39719
-1.214;113.597;39719
-0.847;115.944;39719
-0.058;112.851;39719
-0.023;112.967;39719
-0.029;112.927;39719
-0.011;112.927;39719
-0.05;112.883;39719
-0.057;112.843;39719
-0.021;112.959;39719
-0.027;112.92;39719
1.15;109.639;39720
1.144;109.429;39720
0.677;112.467;39720
0.638;112.399;39720
0.375;109.087;39720
-1.138;114.736;39720
-0.397;109.632;39720
-1.15;114.734;39720
-1.152;114.749;39720
-1.477;113.913;39720
-1.479;113.927;39720
-1.5;113.661;39720
-1.035;110.395;39720
-1.896;116.169;39720
-1.051;110.255;39720
-1.672;114.306;39720
-1.504;113.124;39720
-1.673;114.315;39720
-1.917;115.682;39720
-1.389;110.109;39720
-2.313;115.338;39720
-2.416;115.698;39720
